Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Algeria,,Algiers,5,3,2018,58.3
Africa,Algeria,,Algiers,5,4,2018,58.9
Africa,Algeria,,Algiers,5,5,2018,59.1
Africa,Algeria,,Algiers,5,6,2018,61
Africa,Algeria,,Algiers,5,7,2018,60.2
Africa,Algeria,,Algiers,5,8,2018,62.3
Africa,Algeria,,Algiers,5,9,2018,62.3
Africa,Algeria,,Algiers,5,10,2018,64.9
Africa,Algeria,,Algiers,5,11,2018,65.5
Africa,Algeria,,Algiers,5,12,2018,64.6
Africa,Algeria,,Algiers,5,13,2018,61.9
Africa,Algeria,,Algiers,5,14,2018,58.8
Africa,Algeria,,Algiers,5,15,2018,59.6
Africa,Algeria,,Algiers,5,16,2018,62.6
Africa,Algeria,,Algiers,5,17,2018,62.2
Africa,Algeria,,Algiers,5,18,2018,63
Africa,Algeria,,Algiers,5,19,2018,60.7
Africa,Algeria,,Algiers,5,20,2018,61.8
Africa,Algeria,,Algiers,5,21,2018,63.1
Africa,Algeria,,Algiers,5,22,2018,63.5
Africa,Algeria,,Algiers,5,23,2018,66.4
Africa,Algeria,,Algiers,5,24,2018,75.1
Africa,Algeria,,Algiers,5,25,2018,72.3
Africa,Algeria,,Algiers,5,26,2018,64.7
Africa,Algeria,,Algiers,5,27,2018,68.2
Africa,Algeria,,Algiers,5,28,2018,68.9
Africa,Algeria,,Algiers,5,29,2018,67.5
Africa,Algeria,,Algiers,5,30,2018,65.8
Africa,Algeria,,Algiers,5,31,2018,67.4
Africa,Algeria,,Algiers,6,1,2018,67.1
Africa,Algeria,,Algiers,6,2,2018,71.4
Africa,Algeria,,Algiers,6,3,2018,68.2
Africa,Algeria,,Algiers,6,4,2018,68.8
Africa,Algeria,,Algiers,6,5,2018,67.2
Africa,Algeria,,Algiers,6,6,2018,68.1
Africa,Algeria,,Algiers,6,7,2018,65.1
Africa,Algeria,,Algiers,6,8,2018,69.5
Africa,Algeria,,Algiers,6,9,2018,72.8
Africa,Algeria,,Algiers,6,10,2018,70.3
Africa,Algeria,,Algiers,6,11,2018,69.6
Africa,Algeria,,Algiers,6,12,2018,69.9
Africa,Algeria,,Algiers,6,13,2018,69.6
Africa,Algeria,,Algiers,6,14,2018,70
Africa,Algeria,,Algiers,6,15,2018,70.1
Africa,Algeria,,Algiers,6,16,2018,71.6
Africa,Algeria,,Algiers,6,17,2018,71.2
Africa,Algeria,,Algiers,6,18,2018,65.3
Africa,Algeria,,Algiers,6,19,2018,70
Africa,Algeria,,Algiers,6,20,2018,72
Africa,Algeria,,Algiers,6,21,2018,73.4
Africa,Algeria,,Algiers,6,22,2018,74.1
Africa,Algeria,,Algiers,6,23,2018,75.5
Africa,Algeria,,Algiers,6,24,2018,74.3
Africa,Algeria,,Algiers,6,25,2018,73.2
Africa,Algeria,,Algiers,6,26,2018,73.9
Africa,Algeria,,Algiers,6,27,2018,74.1
Africa,Algeria,,Algiers,6,28,2018,75.7
Africa,Algeria,,Algiers,6,29,2018,77
Africa,Algeria,,Algiers,6,30,2018,77.4
Africa,Algeria,,Algiers,7,1,2018,78.4
Africa,Algeria,,Algiers,7,2,2018,77.9
Africa,Algeria,,Algiers,7,3,2018,78.4
Africa,Algeria,,Algiers,7,4,2018,79.9
Africa,Algeria,,Algiers,7,5,2018,78.5
Africa,Algeria,,Algiers,7,6,2018,76
Africa,Algeria,,Algiers,7,7,2018,81.6
Africa,Algeria,,Algiers,7,8,2018,78.5
Africa,Algeria,,Algiers,7,9,2018,78.5
Africa,Algeria,,Algiers,7,10,2018,77.8
Africa,Algeria,,Algiers,7,11,2018,79.9
Africa,Algeria,,Algiers,7,12,2018,79.7
Africa,Algeria,,Algiers,7,13,2018,80.3
Africa,Algeria,,Algiers,7,14,2018,80.3
Africa,Algeria,,Algiers,7,15,2018,78.9
Africa,Algeria,,Algiers,7,16,2018,82.1
Africa,Algeria,,Algiers,7,17,2018,76.2
Africa,Algeria,,Algiers,7,18,2018,81
Africa,Algeria,,Algiers,7,19,2018,79.2
Africa,Algeria,,Algiers,7,20,2018,81.6
Africa,Algeria,,Algiers,7,21,2018,81.1
Africa,Algeria,,Algiers,7,22,2018,80.2
Africa,Algeria,,Algiers,7,23,2018,80.3
