max_temp,energy_consumption
1.912704595,29986.654
7.032333147,28461.54812
10.61390381,28437.179
12.88862023,27447.35383
19.25352104,27462.4864
24.67180748,28052.98889
29.29010201,30501.12769
27.74324397,29023.33602
20.74926997,27737.50833
15.71110867,27621.37434
10.83948105,28269.64722
7.626134429,27662.81712
8.304558852,28309.56048
8.100240223,28771.58908
9.537226969,28022.55047
12.8183122,28008.99844
17.80474868,27343.40852
25.56054571,28275.48889
28.74051812,29504.81444
25.85585484,28786.69355
23.77829566,28222.57214
14.51043758,27306.54094
9.711983871,28138.94306
7.984612591,27939.31452
5.725696782,28750
8.49770744,27947.16667
11.50362646,27814.15209
15.57557177,27067.83056
20.3439575,27821.625
26.90971973,30351.68889
27.20892041,30095.01075
27.08819536,28731.56989
21.75039078,28175.27639
18.75521232,27666.56779
10.16460905,28692.02483
6.990641688,28986.0672
6.534707036,28900.00269
6.002,29165.58482
9.050719011,28639.96501
13.25956627,27886.3375
17.14973834,27728.09543
25.6864474,29243.21936
26.63753898,29597.65987
28.06888986,29060.54973
24.38699046,29165.925
15.55488315,27481.84832
10.45176362,28054.82083
7.492317964,28559.16935
